,uuid,recipient,project_type,category,address,status,num_drops,num_unique_minters_90D,num_unique_minters_180D,num_farcaster_minters_90D,num_farcaster_minters_180D,num_transactions_90D,num_transactions_180D,usd_value_of_transactions_90D,usd_value_of_transactions_180D
0,10a38b6d-e432-403b-bd9c-9e0bbbeef72b,0x258a3790639F0dC736eAF5b8817706417C656a47,Creator,Art NFTs,0xd0966b2d8d48e057105afa7a1b84bf1188fb00f0,metrics_available,1.0,392.0,811.0,143.0,242.0,472.0,958.0,793.0919896799998,1711.0277228699986
1,8c12c1a5-d565-4851-abf2-1e22724816b0,0x72bA95D9701B0aE496AB4320010a43a764905b1b,Creator,Art NFTs,0x72ba95d9701b0ae496ab4320010a43a764905b1b,metrics_available,17.0,147.0,163.0,15.0,29.0,541.0,680.0,4.157651624747865,300.31463728474785
2,d037864b-d216-451a-a46c-cf587766d6ab,0x5de2B5B72A0b49f7D4490a1fEF61Afa8415971F5,Creator,Art NFTs,0x5de2b5b72a0b49f7d4490a1fef61afa8415971f5,metrics_available,30.0,0.0,598.0,0.0,565.0,0.0,298.0,0.0,16.15570554
3,6d66053a-3741-4c86-83cd-2b3909c92e8f,0xcaa77C8c52c7F0a37DB1A663Dd910Ee444dAB441,Creator,Art NFTs,0xb1abf1039323f248514594a5ed1aef4f4fc95823,metrics_available,6.0,4.0,8.0,4.0,6.0,5.0,19.0,4.488055,15.419065
4,a89a0df3-b9af-4bf0-a8b3-c3793c70e2be,0x49000B54784C0359A9ed744a5f3505d39043e451,Creator,Art NFTs,0x49000b54784c0359a9ed744a5f3505d39043e451,metrics_available,10.0,1350.0,1379.0,524.0,545.0,2483.0,2531.0,4.977649088000748,156.19760808800075
5,8a175e5b-0c5c-49e4-ba8b-87ab6d713367,0xD9bFBC709DA3e481E469AF815265fBD1BC4ae31f,Creator,Other Media NFTs,0x4b4324bcc6db9380abbbbd20b24a16c11fb5b38a,metrics_available,6.0,159.0,299.0,54.0,96.0,178.0,249.0,114.29091467999989,251.9446222199999
6,8391b671-aa86-4ab6-a7bf-110b54acf85d,0x381CC779761212344f8400373a994d29E17522c6,Creator,Other Media NFTs,0x381cc779761212344f8400373a994d29e17522c6,metrics_available,27.0,60.0,811.0,25.0,198.0,94.0,189.0,131.1292999681424,212.3759044981424
7,e9d828f3-4dce-4805-a40f-f9e49f78368a,0x6826Ba168776251688D4E3a6C4AC430CF4F185A8,Creator,Art NFTs,0x6826ba168776251688d4e3a6c4ac430cf4f185a8,metrics_available,2.0,11.0,11.0,8.0,8.0,17.0,18.0,4.307448,4.307448
8,5fc08a5c-5a84-414e-87fd-f43f9ba8a336,0x2eA49C863BE976ee9c10CB8EF382757E48F0b9e5,Creator,Art NFTs,0x2ea49c863be976ee9c10cb8ef382757e48f0b9e5,metrics_available,1.0,6602.0,6629.0,1658.0,1663.0,6855.0,6918.0,2677.938197809949,2822.672800549947
9,fe8e58b4-d31c-443b-a2e5-d7eb2b5a95a4,0x84EC34a8b64e9A40248599fe0f8afA9d66742Fe0,Creator,Art NFTs,0x3cd76a3e1ae288c11459b986362ff2f63ba0a379,metrics_available,6.0,11596.0,11596.0,1427.0,1427.0,19418.0,19419.0,0.0,0.0
10,a7b1b5f3-bbba-4d7a-bc66-2d5c710d7472,0x84EC34a8b64e9A40248599fe0f8afA9d66742Fe0,Creator,Art NFTs,0x3cd76a3e1ae288c11459b986362ff2f63ba0a379,metrics_available,6.0,11596.0,11596.0,1427.0,1427.0,19418.0,19419.0,0.0,0.0
11,6f219dab-ac1d-450c-ba9d-9c0bd2aeb384,0x84EC34a8b64e9A40248599fe0f8afA9d66742Fe0,Creator,Art NFTs,0x3cd76a3e1ae288c11459b986362ff2f63ba0a379,metrics_available,6.0,11596.0,11596.0,1427.0,1427.0,19418.0,19419.0,0.0,0.0
12,f93dabc5-3aab-4637-8dc6-fe893c93e540,0x84EC34a8b64e9A40248599fe0f8afA9d66742Fe0,Creator,Art NFTs,0x3cd76a3e1ae288c11459b986362ff2f63ba0a379,metrics_available,6.0,11596.0,11596.0,1427.0,1427.0,19418.0,19419.0,0.0,0.0
13,eb8ae241-80ca-4795-8376-14d40786ddef,0x84EC34a8b64e9A40248599fe0f8afA9d66742Fe0,Creator,Art NFTs,0x3cd76a3e1ae288c11459b986362ff2f63ba0a379,metrics_available,6.0,11596.0,11596.0,1427.0,1427.0,19418.0,19419.0,0.0,0.0
14,abd622c3-4750-4715-9ea3-975634dc11e0,0x3f08a8029BCa8AfF2e9C0b828F2a3485C620A644,Creator,Art NFTs,0x21339e2ce5ce1d7a19a28e774513619c0c6259da,metrics_available,5.0,25.0,160.0,19.0,117.0,31.0,228.0,55.98740110620558,977.9281807962057
15,c541ddbf-0b96-40d5-8635-d40008570c62,0x830540B0750350b0e17c377c1Cc56b19b7AF4885,Creator,Art NFTs,0x830540b0750350b0e17c377c1cc56b19b7af4885,metrics_available,11.0,411.0,1484.0,256.0,614.0,876.0,2318.0,983.4851568999997,4975.823077520003
16,ea688469-e832-43cf-87ca-ec30ba56627c,0x508dd44Ff3404e618D430D4562C3773B073a5Ccc,Other Application,Community & Curation,0x508dd44ff3404e618d430d4562c3773b073a5ccc,metrics_available,15.0,684.0,4710.0,536.0,4193.0,882.0,3202.0,915.3655432963151,7240.244846580635
17,1572b488-74ee-4ed2-b339-19ab463c4bec,0x723bEE2edd9595596a0CA2fa71ce505695735568,Creator,Art NFTs,0x723bee2edd9595596a0ca2fa71ce505695735568,metrics_available,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0
18,29bafbe9-ece3-40e3-90cf-5a1cfc2420e5,0xc4A6B73AcaE5573d24551867332F8877C9767651,Creator,Other Media NFTs,0x4fba94363621a3b86417d6d0b2819583263a9bc0,metrics_available,17.0,77.0,1464.0,63.0,1219.0,138.0,1250.0,36.66125096498474,2020.6034184149867
19,ad90d932-3b19-4399-bfa0-bdd3975dc12f,0x2Fb0e475F6D495DFdfd9176aF9113f48F7687565,Creator,Art NFTs,0x2fb0e475f6d495dfdfd9176af9113f48f7687565,metrics_available,23.0,66456.0,66493.0,9740.0,9776.0,100563.0,100614.0,28683.807381085542,28734.609541210506
