,uuid,recipient,project_type,category,website
0,66b30945-358e-48a4-b0d2-369c0e1f9424,0x2CD1353Cf0E402770643B54011A63B546a189c44,Other Application,Frames,https://warpcast.com/0xbhaisaab/0xfe9e2933
1,be408482-0002-4e8a-a4fc-f7ec9274748f,0x4E92812DA85C5da800752A6EfadF8B608c35561d,Other Application,Frames,https://basename-on-frame.vercel.app
2,1efcee95-cfbb-4861-8939-50a6fdd300b6,0xECAA5f28Aa25cC39A848836B32744673a555b9bA,Other Application,Channels,https://warpcast.com/~/channel/base-vietnamese
3,3ed646c5-ad5e-4c8e-8497-fd12a8a1d98b,0x26773BB82fD849e37C4D8393850997bE069629B4,Other Application,Frames,https://t.me/alirezablaze
4,011c4951-1cd7-4e7e-9975-d40d8c79c7f3,0x88d0e89E7f502Aa49a564b683e19089c771776c3,Other Application,Frames,https://cast-action-bot-or-not.vercel.app/
5,a0a9e8b7-2de0-464d-81df-438fba607bc2,0x5F77DBc7686327D3BF6eC1887E5a3AdA0aE60841,Other Application,Frames,https://canvass.fun/
6,0b855cea-267d-4a29-8afe-658c79751025,0x7960F1B90b257BfF29D5164D16bca4C8030b7f6D,Other Application,Frames,https://followers.genyframe.xyz
7,fa03768f-8dff-4579-acd0-629e3c7af16e,0x822ec855CC9f41b592622108E6F3565E976430C6,Other Application,Channels,https://warpcast.com/~/channel/daily-art-mint
8,9aeb71f2-be93-405a-b4fe-92fff3384be2,0xAa66fC4433DFD254F05A720A8c8a2f1F2fbDCB58,Other Application,Frames,https://dana-quiz.vercel.app/
9,eb976c10-cef9-4073-8706-56b7a2661af4,0x0DFBD9Aa17BD6a7bbF5ddb2E1Fe152bB7FdA5c20,Other Application,Frames,https://engagements.basedcoder.link/api
10,f4e4845f-c994-4a70-b15e-4c3b0f24e010,0x538527f3602acaD78596F17B422Fcf5613Af1409,Other Application,Frames,https://events.xyz
11,d6b0d740-21ba-41d8-aef9-fb24dedc0ba7,0x764E427020Ad72624075c61260192C6E486D15a5,Other Application,Frames,https://warpcast.com/zeni.eth/0x7ff0bfd7
12,8c22efac-52a8-48e9-b44b-4b7576eb11de,0x7827b0C8e315a23E407E54bb903EA9cA37039e55,Other Application,Frames,https://farcaster-personality.farcasterpicker.xyz/
13,6c6fc13e-88f8-470d-bb59-f22a8e654ad4,0x7827b0C8e315a23E407E54bb903EA9cA37039e55,Other Application,Frames,https://farcasterpicker.xyz/Picker/
14,3158e2f8-886f-4099-a57b-12cd4c91e8d5,0x6C994eEF6fdbeE8BCFF9016B7CE3A53b489Ad155,Other Application,Frames,https://warpcast.com/nastya/0xb1551a15
