,project_slug,from_name,quarter,day
0,4everland,2062686364,2021Q3,1
1,4everland,4everlandorg,2023Q1,1
2,4everland,4everlandorg,2023Q3,1
3,4everland,Alexandas,2022Q1,3
4,4everland,Alexandas,2022Q2,1
5,4everland,Alexandas,2022Q3,6
6,4everland,Alexandas,2022Q4,4
7,4everland,Alexandas,2023Q1,9
8,4everland,Alexandas,2023Q2,2
9,4everland,Alexandas,2023Q4,1
10,4everland,PLdehao,2021Q3,1
11,4everland,Utpal14290,2023Q3,1
12,4everland,alanmoleapfive,2022Q1,1
13,4everland,banmacrypto,2022Q3,1
14,4everland,cachalots,2021Q3,1
15,4everland,cachalots,2021Q4,3
16,4everland,cachalots,2022Q1,1
17,4everland,cachalots,2022Q3,1
18,4everland,cachalots,2023Q1,2
19,4everland,cachalots,2023Q2,2
20,4everland,cachalots,2023Q4,5
21,4everland,charles-lpd,2023Q1,1
22,4everland,cryptobuffer,2021Q2,3
23,4everland,cryptobuffer,2021Q3,18
24,4everland,cryptobuffer,2023Q4,1
25,4everland,danerlt,2021Q3,1
26,4everland,decartesol,2023Q3,1
27,4everland,definitelynobody,2023Q2,1
28,4everland,dennis-tra,2023Q2,1
29,4everland,dh360,2021Q4,1
30,4everland,engvuchen,2023Q2,1
31,4everland,indirasieben,2021Q3,16
32,4everland,indirasieben,2021Q4,11
33,4everland,indirasieben,2022Q1,15
34,4everland,indirasieben,2022Q2,28
35,4everland,indirasieben,2022Q3,13
36,4everland,indirasieben,2022Q4,9
37,4everland,indirasieben,2023Q1,15
38,4everland,indirasieben,2023Q2,24
39,4everland,indirasieben,2023Q3,11
40,4everland,indirasieben,2023Q4,9
41,4everland,jscott-rawnet,2023Q4,2
42,4everland,kuhe,2023Q4,1
43,4everland,miaozasanynoe,2021Q3,1
44,4everland,poyakoo,2021Q3,1
45,4everland,probonopd,2023Q4,1
46,4everland,satoshi4everland,2022Q2,1
47,4everland,saullary,2021Q3,38
48,4everland,saullary,2021Q4,31
49,4everland,saullary,2022Q1,14
50,4everland,saullary,2022Q2,34
51,4everland,saullary,2022Q3,31
52,4everland,saullary,2022Q4,18
53,4everland,saullary,2023Q1,11
54,4everland,saullary,2023Q2,11
55,4everland,saullary,2023Q3,7
56,4everland,saullary,2023Q4,7
57,4everland,sharkerbaby,2021Q2,7
58,4everland,thloyi,2021Q4,4
59,4everland,thloyi,2022Q1,2
60,4everland,thloyi,2022Q3,3
61,4everland,thloyi,2022Q4,1
62,4everland,thloyi,2023Q1,2
63,4everland,thloyi,2023Q2,3
64,4everland,thloyi,2023Q3,1
65,4everland,thloyi,2023Q4,2
66,4everland,yepCing,2022Q2,8
67,4everland,yepCing,2022Q3,18
68,4everland,yepCing,2022Q4,23
69,4everland,yepCing,2023Q1,35
70,4everland,yepCing,2023Q2,28
71,4everland,yepCing,2023Q3,33
72,4everland,yepCing,2023Q4,28
73,astralprotocol,0xTimepunk,2021Q1,16
74,astralprotocol,0xTimepunk,2021Q2,3
75,astralprotocol,JaredChilders,2020Q3,8
76,astralprotocol,JaredChilders,2020Q4,9
77,astralprotocol,JaredChilders,2021Q1,14
78,astralprotocol,JaredChilders,2021Q2,1
79,astralprotocol,RobinD57,2020Q3,2
80,astralprotocol,daniserrano7,2022Q4,4
81,astralprotocol,daniserrano7,2023Q1,6
82,astralprotocol,fabianschu,2023Q1,1
83,astralprotocol,hackingbeauty,2020Q3,10
84,astralprotocol,hollygrimm,2022Q1,3
85,astralprotocol,hollygrimm,2022Q3,4
86,astralprotocol,j-mars,2020Q3,14
87,astralprotocol,j-mars,2020Q4,22
88,astralprotocol,j-mars,2021Q1,21
89,astralprotocol,johnx25bd,2020Q3,11
90,astralprotocol,johnx25bd,2021Q1,34
91,astralprotocol,johnx25bd,2021Q2,7
92,astralprotocol,johnx25bd,2022Q1,1
93,astralprotocol,ronerlih,2023Q4,3
94,banklessdao,0xMamer,2021Q3,2
95,banklessdao,0xNSHuman,2021Q4,13
96,banklessdao,0xNSHuman,2022Q1,4
97,banklessdao,0xOptimism,2023Q1,4
98,banklessdao,0xOptimism,2023Q3,2
99,banklessdao,0xbaer,2023Q1,5
100,banklessdao,Abstrucked,2021Q4,2
101,banklessdao,Abstrucked,2023Q2,2
102,banklessdao,Abstrucked,2023Q3,2
103,banklessdao,AustinFoss,2023Q2,1
104,banklessdao,BOBOtoTHEmoon,2023Q1,13
105,banklessdao,BOBOtoTHEmoon,2023Q2,12
106,banklessdao,BOBOtoTHEmoon,2023Q3,11
107,banklessdao,BOBOtoTHEmoon,2023Q4,4
108,banklessdao,Behold3th,2021Q2,2
109,banklessdao,Behold3th,2021Q3,8
110,banklessdao,Behold3th,2021Q4,30
111,banklessdao,Behold3th,2022Q1,29
112,banklessdao,Behold3th,2022Q2,15
113,banklessdao,Behold3th,2022Q3,3
114,banklessdao,Behold3th,2022Q4,4
115,banklessdao,BogDrakonov,2023Q2,1
116,banklessdao,BogDrakonov,2023Q3,2
117,banklessdao,BogDrakonov,2023Q4,4
118,banklessdao,Cisco-7,2023Q3,1
119,banklessdao,CompositeFellow,2022Q1,4
120,banklessdao,CompositeFellow,2022Q2,9
121,banklessdao,CompositeFellow,2022Q3,9
122,banklessdao,CompositeFellow,2023Q2,1
123,banklessdao,DadDevTrev,2021Q4,1
124,banklessdao,Dalgerok,2023Q2,2
125,banklessdao,Echolinq,2023Q3,1
126,banklessdao,Echolinq,2023Q4,1
127,banklessdao,HamishMcDougall,2023Q2,2
128,banklessdao,Icedcool,2021Q2,3
129,banklessdao,Icedcool,2021Q3,1
130,banklessdao,Icedcool,2022Q4,3
131,banklessdao,Icedcool,2023Q1,4
132,banklessdao,Icedcool,2023Q2,1
133,banklessdao,Icedcool,2023Q3,2
134,banklessdao,Jasmine-liang,2021Q4,1
135,banklessdao,Jasmine-liang,2022Q1,1
136,banklessdao,Jauxy,2023Q2,1
137,banklessdao,Jauxy,2023Q4,3
138,banklessdao,KenMan79,2022Q1,2
139,banklessdao,LordRanchoatos,2022Q2,3
140,banklessdao,LordRanchoatos,2022Q3,1
141,banklessdao,LordRanchoatos,2023Q1,5
142,banklessdao,LordRanchoatos,2023Q2,8
143,banklessdao,LordRanchoatos,2023Q3,5
144,banklessdao,LordRanchoatos,2023Q4,5
145,banklessdao,MantisClone,2022Q4,4
146,banklessdao,MantisClone,2023Q1,17
147,banklessdao,MantisClone,2023Q2,5
148,banklessdao,MantisClone,2023Q3,8
149,banklessdao,MantisClone,2023Q4,10
150,banklessdao,Mofejesu1,2022Q2,2
151,banklessdao,Mofejesu1,2022Q3,6
152,banklessdao,Mofejesu1,2022Q4,1
153,banklessdao,MrPackman4019,2021Q3,6
154,banklessdao,Ng1n3,2023Q2,1
155,banklessdao,Oktalize,2021Q2,10
156,banklessdao,Oktalize,2021Q3,14
157,banklessdao,Oktalize,2021Q4,1
158,banklessdao,OverAcheiever,2021Q3,3
159,banklessdao,OverAcheiever,2021Q4,12
160,banklessdao,OverAcheiever,2022Q1,1
161,banklessdao,PaulApivat,2021Q2,18
162,banklessdao,PaulApivat,2021Q3,35
163,banklessdao,PaulApivat,2021Q4,28
164,banklessdao,PaulApivat,2022Q1,34
165,banklessdao,PaulApivat,2022Q2,1
166,banklessdao,PaulitoBankless,2023Q3,2
167,banklessdao,PradhumnaPancholi,2021Q2,3
168,banklessdao,PradhumnaPancholi,2021Q3,12
169,banklessdao,Rabursky,2021Q2,2
170,banklessdao,Yembot31013,2023Q2,19
171,banklessdao,Yembot31013,2023Q3,6
172,banklessdao,Zara-Gma,2022Q1,5
173,banklessdao,activate-glacier-instinct,2022Q1,7
174,banklessdao,activate-glacier-instinct,2022Q2,15
175,banklessdao,activate-glacier-instinct,2022Q3,10
176,banklessdao,adam-arold,2021Q4,6
177,banklessdao,aditikatoch,2021Q4,2
178,banklessdao,agustinfz,2021Q2,3
179,banklessdao,ahrenstein,2022Q2,1
180,banklessdao,ahrenstein,2022Q4,1
181,banklessdao,ahrenstein,2023Q1,2
182,banklessdao,almithani,2021Q4,4
183,banklessdao,almithani,2023Q3,1
184,banklessdao,almithani,2023Q4,2
185,banklessdao,amaredeus,2021Q2,4
186,banklessdao,amaredeus,2021Q3,29
187,banklessdao,amaredeus,2021Q4,16
188,banklessdao,amaredeus,2022Q1,10
189,banklessdao,amaredeus,2022Q2,6
190,banklessdao,amaredeus,2022Q3,1
191,banklessdao,amochuko,2023Q3,1
192,banklessdao,amochuko,2023Q4,1
193,banklessdao,angyts,2021Q3,2
194,banklessdao,anibesam,2022Q3,2
195,banklessdao,anibesam,2022Q4,1
196,banklessdao,aspiers,2021Q3,2
197,banklessdao,austinmitchem,2021Q4,7
198,banklessdao,awb715,2022Q2,2
199,banklessdao,baerlux,2021Q2,1
200,banklessdao,baerlux,2021Q3,1
201,banklessdao,blirpcodes,2021Q4,3
202,banklessdao,c2j,2023Q1,7
203,banklessdao,caiovictorpcb,2023Q1,3
204,banklessdao,caiovictorpcb,2023Q2,1
205,banklessdao,cassandraC10,2023Q3,1
206,banklessdao,chiragbadhe,2023Q2,3
207,banklessdao,d0wnlore,2022Q3,1
208,banklessdao,d0wnlore,2022Q4,1
209,banklessdao,daniel-ivanco,2021Q3,1
210,banklessdao,didierkrux,2021Q3,4
211,banklessdao,didierkrux,2021Q4,2
212,banklessdao,didierkrux,2022Q1,9
213,banklessdao,didierkrux,2022Q2,9
214,banklessdao,didierkrux,2022Q3,14
215,banklessdao,didierkrux,2022Q4,23
216,banklessdao,didierkrux,2023Q1,8
217,banklessdao,didierkrux,2023Q3,1
218,banklessdao,didierkrux,2023Q4,7
219,banklessdao,dizthewize,2021Q4,2
220,banklessdao,duke-eth,2021Q4,1
221,banklessdao,dukedegen,2022Q1,2
222,banklessdao,dysntr,2023Q4,1
223,banklessdao,finch-theworst,2023Q1,1
224,banklessdao,foxyblocks,2021Q3,12
225,banklessdao,foxyblocks,2021Q4,4
226,banklessdao,foxyblocks,2023Q4,1
227,banklessdao,geositta,2021Q3,10
228,banklessdao,geositta,2021Q4,10
229,banklessdao,geositta,2022Q1,21
230,banklessdao,geositta,2022Q2,17
231,banklessdao,geositta,2022Q4,1
232,banklessdao,geositta,2023Q1,3
233,banklessdao,gunvantk,2021Q4,6
234,banklessdao,gvirus21,2022Q2,4
235,banklessdao,gvirus21,2022Q3,1
236,banklessdao,hunterchristian,2022Q1,1
237,banklessdao,itstradford,2022Q1,1
238,banklessdao,jakeacooley,2021Q3,1
239,banklessdao,jakeacooley,2021Q4,2
240,banklessdao,jengajojo,2023Q2,1
241,banklessdao,jengajojo,2023Q3,2
242,banklessdao,joaoh9,2021Q3,4
243,banklessdao,johnwatza,2023Q4,2
244,banklessdao,jonathanprozzi,2021Q2,1
245,banklessdao,jonvaljonathan,2021Q4,4
246,banklessdao,jonvaljonathan,2022Q2,1
247,banklessdao,jordaniza,2021Q3,2
248,banklessdao,jordaniza,2021Q4,16
249,banklessdao,jordaniza,2022Q1,25
250,banklessdao,jordaniza,2022Q2,7
251,banklessdao,jpescada,2023Q3,2
252,banklessdao,ken333135,2021Q4,4
253,banklessdao,ken333135,2022Q1,5
254,banklessdao,khodepanda,2021Q4,1
255,banklessdao,kutubu1,2023Q2,1
256,banklessdao,kutubu1,2023Q4,1
